x (nm),y (nm),u (V)
-487.7044691703381,-4.1890620012415,0.15055767286205343
-487.51956712471815,-9.584081543058309,0.1008355187749297
-487.4537060258388,-7.069224419722984,0.12209286721493928
-487.36880778928173,4.8952943011210515,0.1433626781404114
-487.2122652317721,-5.0,0.15078581646455275
-487.1728677997877,-22.471360444662576,0.051656790028487706
-487.1471198960717,-2.949817701998506,0.15016898434031273
-487.0388774023496,0.0,0.14925641302729567
-487.0142724732113,-12.971903124033416,0.08180391468959093
-486.77562407367253,-5.890237335504564,0.1364692193917752
-486.7415916335582,-4.193326086807793,0.15054552368213026
-486.6833286505914,20.752131122842986,0.12440406279101461
-486.5643170538559,-10.917960873614504,0.09245386240918177
-486.5480991407441,11.610563283279046,0.13529678076711088
-486.537198485806,-8.248498297031487,0.11096353407423548
-486.3466734855775,-6.83885824125547,0.12471892797752598
-486.1773139874487,-5.0,0.15078505885841914
-486.0628720567301,2.1800086601608064,0.14662523338149974
-485.99436861712536,-1.5475922546695235,0.14973148050214063
-485.85959305279874,-15.76334161641198,0.0705045567132279
-485.785339305522,-3.9130115981391143,0.15045543268965655
-485.7221502625894,-5.932968614023459,0.13586672519328133
-485.566503578015,-27.81404509314571,0.04145350201889161
-485.5458659712132,-9.57394520332945,0.10090109888931861
-485.2676267363117,-7.131665887420029,0.12143582762598559
-485.1341401213969,-5.0,0.15077550332942996
-484.94592503643327,0.0,0.14925024888749924
-484.9393505512765,-2.8415735747945354,0.15012650268472227
-484.79649547239956,-11.18584097648218,0.09084162406772768
-484.70973531968014,-4.111770995787909,0.1505140746591817
-484.65685859502315,-5.975111647603837,0.13527449942737937
-484.5997053236395,-8.325992638904447,0.1103537831921456
-484.4473088168665,27.23645478783262,0.11667967062739622
-484.349302156029,7.581814128926156,0.14010754595370467
-484.2421228403981,4.149626896031497,0.14424144837679428
-484.1813452097402,-13.332172188367107,0.08018941884996456
-484.1109123007889,-5.0,0.15078655112009526
-484.08476891543387,-7.06220877999593,0.12219257977991156
